Table S1: IEI Candidate Genes without Filter,,,,
1030,1.24E-10,IL16,0.00014274,0.99986
1031,0.043049,IL17A,0.099474,0.85748
1032,0.0001243,IL17C,0.59317,0.4067
1033,0.19796,IL17D,0.14307,0.65896
1034,0.030717,IL18,0.14618,0.8231
1035,0.0001602,IL1A,0.30613,0.69371
1036,0.13005,IL1B,0.0042124,0.86574
1037,0.15126,IL1R1,0.00013224,0.84861
1038,0.25846,IL1RAP,8.93E-06,0.74153
1039,0.47968,IL2,0.020478,0.49984
1040,0.00018843,IL22,0.51096,0.48885
1041,0.35806,IL23A,0.011116,0.63082
1042,0.78232,IL27,0.0013197,0.21636
1043,2.59E-09,IL3,0.97693,0.023067
1044,8.29E-10,IL33,0.95658,0.043419
1045,2.99E-27,IL3RA,1,2.22E-06
1046,0.0047372,IL4,0.29362,0.70164
1047,0.00023013,IL4R,0.01739,0.98238
1048,0.0056529,IL5,0.25705,0.7373
1049,0.31536,IL6,0.015405,0.66924
1050,3.79E-05,ILK,0.001996,0.99797
1051,0.011165,IMMP2L,0.13737,0.85147
1052,0.0096662,ING1,0.0097573,0.98058
1053,0.99952,INPP4A,2.24E-14,0.00048478
1054,0.55218,INPP4B,2.98E-10,0.44782
1055,0.97198,INPP5D,7.65E-13,0.028025
1056,0.30091,INS,0.070035,0.62906
1057,3.61E-05,INSR,1.22E-09,0.99996
1058,1.26E-05,INTS7,3.32E-06,0.99998
1059,0.0015595,IPCEF1,0.0011562,0.99728
1060,0.99754,IQGAP1,2.73E-20,0.0024603
1061,8.50E-27,IQGAP2,0.007036,0.99296
1062,0.99969,IQSEC1,8.95E-13,0.00030798
1063,2.61E-19,IRAK2,0.99232,0.0076838
1064,0.9909,IRF1,4.18E-07,0.009099
1065,0.79793,IRF2,4.44E-05,0.20203
1066,0.0090365,IRF5,0.000451,0.99051
1067,0.023645,IRS1,2.21E-05,0.97633
1068,0.99032,IRS2,1.99E-08,0.0096801
1069,0.57796,IRS4,1.74E-05,0.42202
1070,0.002899,ISG20,0.40044,0.59666
1071,8.66E-08,ITGA11,2.89E-07,1
1072,6.28E-11,ITGA2,6.39E-07,1
1073,3.55E-07,ITGA3,1.88E-07,1
1074,0.00010067,ITGA4,3.38E-08,0.9999
1075,0.42455,ITGA5,6.63E-12,0.57545
1076,1.90E-07,ITGA6,9.35E-08,1
1077,6.08E-13,ITGA8,2.04E-05,0.99998
1078,0.0081584,ITGA9,7.28E-09,0.99184
1079,0.0043213,ITGAL,7.49E-10,0.99568
1080,3.31E-11,ITGAM,7.91E-06,0.99999
1081,0.00022844,ITGAV,2.11E-09,0.99977
1082,1.37E-15,ITGAX,0.00021697,0.99978
1083,0.98208,ITGB1,7.48E-10,0.017918
1084,0.0017189,ITGB3,8.35E-06,0.99827
1085,9.53E-19,ITGB4,8.51E-07,1
1086,9.89E-08,ITGB5,0.0007035,0.9993
1087,1.63E-22,ITGB6,0.99736,0.0026426
1088,2.37E-06,ITGB7,0.00018026,0.99982
1089,0.99767,ITGB8,2.52E-11,0.0023321
1090,1,ITPR1,4.39E-43,1.10E-14
1091,5.71E-29,ITPR2,3.68E-10,1
1092,1,ITSN1,1.67E-27,7.25E-07
1093,0.99994,JADE2,4.92E-13,6.49E-05
1094,1,JAG1,1.79E-21,8.28E-08
1095,1,JAG2,6.31E-22,5.39E-08
1096,0.65372,JAK2,2.53E-11,0.34628
1097,0.0006158,JAM3,0.020722,0.97866
1098,1,JMJD1C,2.62E-40,7.95E-16
1099,0.05962,JUN,0.065457,0.87492
1100,0.86299,JUNB,0.0018024,0.13521
1101,0.70054,JUND,0.014898,0.28457
1102,1,KALRN,6.88E-30,4.00E-10
1103,0.57331,KAT2A,3.03E-08,0.42669
1104,0.98975,KAT2B,7.78E-12,0.010254
1105,0.088234,KAT5,1.40E-05,0.91175
1106,1,KAT6A,5.85E-35,6.47E-14
1107,1,KAT6B,4.27E-28,3.04E-10
1108,0.22493,KAT8,6.00E-05,0.77501
1109,0.59671,KAZN,1.23E-07,0.40329
1110,0.037604,KCNIP3,0.0064448,0.95595
1111,0.11313,KCNJ15,0.025144,0.86172
1112,0.031161,KCNK1,0.038996,0.92984
1113,0.99731,KCNMA1,1.21E-14,0.002694
1114,0.5544,KCNMB2,0.0025096,0.44309
1115,0.97227,KCNN3,5.37E-08,0.027735
1116,0.85538,KCTD1,0.00043199,0.14419
1117,0.99667,KDM1A,2.46E-12,0.0033338
1118,1,KDM2A,9.15E-27,4.03E-11
1119,1,KDM2B,8.59E-21,5.84E-07
1120,6.52E-07,KDM4C,3.89E-07,1
1121,1,KDM5A,1.63E-27,3.78E-09
1122,1,KDM6B,1.96E-22,3.34E-08
1123,0.99982,KDR,3.58E-18,0.00018468
1124,0.00038766,KEAP1,0.00035101,0.99926
1125,0.99423,KHDRBS1,1.37E-07,0.0057738
1126,0.038537,KHDRBS2,0.0012727,0.96019
1127,1,KHSRP,6.07E-16,1.12E-06
1128,0.00023185,KIAA1217,8.46E-11,0.99977
1129,2.04E-05,KIAA1324L,1.66E-06,0.99998
1130,0.99998,KIF2A,4.27E-14,2.38E-05
1131,3.57E-15,KIR2DL1,0.99845,0.0015538
1132,2.68E-09,KIR2DL3,0.9149,0.0851
1133,8.36E-14,KIR3DL1,0.99483,0.0051666
1134,0.98087,KIT,3.60E-11,0.019126
1135,0.85024,KITLG,9.65E-05,0.14966
1136,8.32E-09,KLF11,0.83975,0.16025
1137,0.56044,KLF2,0.011244,0.42832
1138,0.99714,KLF4,1.22E-07,0.0028555
1139,0.8181,KLF5,0.00016375,0.18173
1140,0.97946,KLF6,1.52E-05,0.020527
1141,0.98178,KLF7,1.13E-05,0.01821
1142,0.88783,KLF9,0.0010725,0.1111
1143,4.03E-06,KLHL6,0.0099068,0.99009
1144,0.00012775,KLK2,0.35486,0.64501
1145,4.43E-06,KLK3,0.59262,0.40737
1146,4.14E-05,KLRC1,0.35802,0.64194
1147,0.0008747,KLRD1,0.19151,0.80762
1148,6.98E-14,KLRK1,0.99535,0.0046476
1149,1,KMT2B,8.85E-42,1.98E-16
1150,NA,KMT5A,NA,NA
1151,3.21E-10,KNG1,0.086728,0.91327
1152,0.54133,KPNA2,2.34E-05,0.45865
1153,1,KPNB1,2.83E-20,3.59E-08
1154,0.00078803,KRAS,0.21019,0.78902
1155,0.73629,KRT1,3.91E-06,0.26371
1156,1.10E-11,KRT17,0.91161,0.088393
1157,2.36E-08,KRT8,0.28952,0.71048
1158,3.46E-06,KRT80,0.054317,0.94568
1159,0.069796,KSR1,8.42E-07,0.9302
1160,1,KSR2,1.05E-17,7.85E-07
1161,0.0064543,KTN1,5.82E-15,0.99355
1162,4.18E-18,KYNU,0.99448,0.0055187
1163,3.22E-32,LAMA1,2.36E-10,1
1164,2.41E-47,LAMA2,2.74E-05,0.99997
1165,8.83E-46,LAMA3,1.55E-07,1
1166,2.50E-19,LAMB2,1.18E-06,1
1167,1,LAMC1,8.09E-23,6.16E-07
1168,1.47E-07,LAP3,0.043327,0.95667
1169,4.28E-13,LAPTM4B,0.99299,0.0070134
1170,0.90044,LAPTM5,0.00016218,0.0994
1171,0.9827,LASP1,2.02E-06,0.017298
1172,0.99987,LATS1,4.56E-15,0.00013094
1173,0.98807,LATS2,1.36E-09,0.011927
1174,4.19E-15,LBP,0.97666,0.023338
1175,0.92466,LCP2,2.70E-08,0.075337
1176,0.9546,LDB2,4.47E-06,0.045399
1177,9.84E-24,LDLR,0.99304,0.0069579
1178,0.99789,LEF1,1.18E-08,0.0021106
1179,0.99475,LEPR,3.06E-13,0.0052486
1180,2.32E-05,LGALS3,0.48358,0.51639
1181,0.056209,LHFPL2,0.070842,0.87295
1182,0.5242,LIF,0.014804,0.461
1183,1.49E-13,LIFR,0.0001538,0.99985
1184,0.94734,LIMCH1,7.47E-13,0.052664
1185,0.41673,LIMD1,1.24E-05,0.58326
1186,0.99937,LIMK1,2.52E-11,0.00062909
1187,0.01561,LIMK2,4.10E-05,0.98435
1188,0.0031502,LIMS1,0.010029,0.98682
1189,NA,LINC00299,NA,NA
1190,NA,LINC00474,NA,NA
1191,5.53E-07,LIPA,0.12626,0.87374
1192,0.030752,LITAF,0.14601,0.82324
1193,1.26E-08,LMBR1,0.013184,0.98682
1194,0.9994,LMNA,1.13E-10,0.00060471
1195,0.15884,LMO2,0.060089,0.78107
1196,0.99978,LMTK2,3.17E-15,0.00021722
1197,1.27E-09,LPL,0.44009,0.55991
1198,0.0071908,LPP,0.00012737,0.99268
1199,0.99552,LRCH1,2.51E-11,0.0044802
1200,0.035031,LRIG1,1.01E-07,0.96497
1201,1.17E-09,LRIG3,2.84E-05,0.99997
1202,1,LRP1,3.99E-90,7.45E-35
1203,2.53E-06,LRP1B,3.99E-37,1
1204,0.99999,LRP2,1.13E-46,6.63E-06
1205,0.69664,LRP6,1.15E-15,0.30336
1206,0.019511,LRRFIP1,0.0035273,0.97696
1207,2.58E-30,LRRK2,6.37E-09,1
1208,0.98742,LSAMP,9.25E-07,0.012582
1209,0.19685,LTA,0.041527,0.76163
1210,9.61E-11,LTB,0.98765,0.012347
1211,3.72E-09,LTBP1,1.51E-11,1
1212,0.3058,LTBR,0.00014576,0.69405
1213,1.27E-21,LTF,0.99117,0.0088337
1214,9.29E-26,LTK,0.99914,0.00086032
1215,2.35E-10,LUZP2,0.74343,0.25657
1216,7.42E-05,LY96,0.47313,0.5268
1217,0.77265,LYL1,0.0069462,0.22041
1218,0.99886,LYN,5.28E-10,0.0011377
1219,1,MACF1,4.82E-108,2.32E-39
1220,0.43472,MACROD2,1.08E-05,0.56527
1221,6.84E-16,MAD1L1,0.4332,0.5668
1222,0.53462,MADCAM1,0.013694,0.45169
1223,0.74382,MAF,0.0020987,0.25408
1224,0.94812,MAF1,3.09E-05,0.05185
1225,0.73176,MAFG,0.010948,0.25729
1226,0.5597,MAGI1,4.70E-13,0.4403
1227,0.99943,MAGI2,1.34E-15,0.00056641
1228,0.99984,MAML3,3.41E-14,0.00015514
1229,0.11123,MAN1A1,9.42E-06,0.88876
1230,1,MAP1B,7.33E-27,9.78E-10
1231,0.027922,MAP1LC3A,0.1615,0.81058
1232,1,MAP2,1.62E-22,8.30E-09
1233,0.89669,MAP2K1,7.34E-06,0.1033
1234,0.96673,MAP2K2,2.06E-06,0.033269
1235,0.022009,MAP2K3,0.0029529,0.97504
1236,0.99709,MAP2K4,2.58E-08,0.0029132
1237,0.004765,MAP2K5,9.47E-06,0.99523
1238,0.91334,MAP2K6,9.42E-07,0.086656
1239,0.99552,MAP2K7,7.37E-08,0.0044754
1240,0.99998,MAP3K1,8.29E-18,1.89E-05
1241,0.58758,MAP3K10,3.25E-06,0.41242
1242,0.010875,MAP3K11,2.85E-06,0.98912
1243,1,MAP3K12,3.47E-17,3.45E-07
1244,0.99999,MAP3K2,7.79E-14,8.20E-06
1245,NA,MAP3K20,NA,NA
1246,0.98535,MAP3K3,4.56E-10,0.014653
1247,1,MAP3K4,4.41E-25,7.25E-08
1248,0.51964,MAP3K5,3.20E-12,0.48036
1249,0.99971,MAP3K7,3.87E-12,0.00029137
1250,0.96825,MAP3K8,1.83E-06,0.031747
1251,0.84782,MAP4,6.93E-09,0.15218
1252,0.98919,MAP4K1,1.79E-12,0.010815
1253,1.54E-11,MAP4K2,0.00011723,0.99988
1254,0.10987,MAP4K3,1.34E-10,0.89013
1255,1,MAP4K4,2.97E-23,1.10E-07
1256,0.99469,MAP4K5,1.55E-12,0.0053087
1257,0.99698,MAPK1,1.39E-07,0.00302
1258,0.27553,MAPK10,3.80E-05,0.72443
1259,0.00033565,MAPK11,0.010291,0.98937
1260,5.87E-07,MAPK12,0.11841,0.88159
1261,6.72E-11,MAPK13,0.58655,0.41345
1262,0.37466,MAPK14,8.44E-05,0.62525
1263,1.87E-21,MAPK15,0.99958,0.00041956
1264,0.036884,MAPK3,0.0013608,0.96176
1265,0.21895,MAPK4,0.00031365,0.78073
1266,0.0031023,MAPK7,0.00042983,0.99647
1267,0.99823,MAPK8,7.70E-09,0.0017736
1268,0.99983,MAPK8IP1,2.52E-11,0.00016937
1269,0.99997,MAPK8IP2,1.34E-12,2.64E-05
1270,1,MAPK8IP3,3.04E-23,2.99E-08
1271,0.069738,MAPK9,0.0001017,0.93016
1272,0.99991,MAPKAP1,4.87E-12,8.63E-05
1273,0.99957,MAPKAPK2,1.19E-09,0.00042787
1274,3.72E-09,MAPKAPK3,0.44845,0.55155
1275,0.35435,MAPKAPK5,2.00E-05,0.64563
1276,0.0060258,MAPT,0.00016462,0.99381
1277,0.0086782,1-Mar,0.011373,0.97995
1278,3.30E-24,10-Mar,0.99973,0.00026554
1279,0.17324,3-Mar,0.0119,0.81486
1280,0.32648,MARCKS,0.058877,0.61465
1281,0.99999,MARK2,1.08E-14,1.35E-05
1282,1.43E-06,MARK3,7.54E-05,0.99992
1283,1.71E-19,MAST2,4.96E-05,0.99995
1284,0.00011694,MAST4,3.14E-15,0.99988
1285,0.99846,MAT2A,2.70E-08,0.0015394
1286,2.31E-06,MATK,0.0045099,0.99549
1287,6.70E-07,MAVS,0.52641,0.47359
1288,0.8335,MAX,0.00063069,0.16587
1289,0.70579,MBNL1,2.68E-05,0.29418
1290,0.28446,MBP,0.019647,0.6959
1291,0.00091697,MC4R,0.41003,0.58905
1292,4.66E-16,MCC,0.023468,0.97653
1293,2.72E-07,MCF2L,1.13E-08,1
1294,1.16E-24,MCF2L2,0.46951,0.53049
1295,0.96349,MCL1,6.32E-05,0.036451
1296,6.95E-11,MCM3,0.0016223,0.99838
1297,1.94E-24,MCM7,0.99928,0.00072123
1298,7.76E-30,MCPH1,0.99999,1.26E-05
1299,9.31E-05,MCTP1,1.87E-07,0.99991
1300,2.27E-08,MDC1,8.10E-08,1
1301,0.23005,MDK,0.030859,0.73909
1302,0.99981,MDM2,3.26E-11,0.0001884
1303,0.99992,MDM4,2.08E-11,8.12E-05
1304,0.37737,MDS2,0.041684,0.58095
1305,1,MECOM,5.50E-17,1.55E-06
1306,1,MED14,3.00E-20,3.68E-08
1307,0.99974,MED15,4.69E-15,0.00025526
1308,2.59E-14,MED16,0.59988,0.40012
1309,0.00011083,MED28,0.38592,0.61397
1310,0.0076107,MED4,0.013689,0.9787
1311,0.017256,MEF2C,0.00086192,0.98188
1312,0.99705,MEF2D,5.41E-09,0.0029539
1313,0.99951,MEIS1,1.64E-09,0.00048825
1314,4.51E-22,MELK,0.9975,0.0024993
1315,0.99971,MEN1,9.15E-11,0.0002876
1316,2.66E-11,MERTK,0.0013056,0.99869
1317,0.96998,MET,1.84E-13,0.030022
1318,5.55E-11,METTL8,0.88239,0.11761
1319,0.80352,METTL9,0.00020269,0.19627
1320,0.98879,MGAT1,3.44E-06,0.011202
1321,0.020016,MGLL,0.016256,0.96373
1322,1.18E-07,MGMT,0.8907,0.1093
1323,0.10393,MGRN1,1.06E-05,0.89606
1324,0.0049697,MICA,0.024719,0.97031
1325,2.18E-12,MICAL2,7.98E-05,0.99992
1326,1.20E-07,MICALL1,0.0026316,0.99737
1327,0.97967,MID1,6.09E-07,0.020332
1328,1,MINK1,3.87E-27,7.52E-10
1329,2.08E-11,MIPOL1,0.59736,0.40264
1330,NA,MIR17HG,NA,NA
1331,0.98119,MITF,2.06E-08,0.018805
1332,1.26E-28,MKI67,0.0010241,0.99898
1333,8.05E-10,MKNK1,0.29789,0.70211
1334,1.40E-05,MKNK2,0.0082397,0.99175
1335,0.99421,MKRN1,2.80E-08,0.0057926
1336,3.41E-05,MLH1,1.93E-05,0.99995
1337,0.99964,MLLT3,7.86E-10,0.00036098
1338,7.88E-18,MMP13,0.99784,0.002162
1339,0.99522,MMP14,3.54E-09,0.0047784
1340,0.83878,MMP2,1.98E-07,0.16122
1341,5.74E-15,MMP3,0.98537,0.014628
1342,1.89E-17,MMP9,0.97436,0.025637
1343,0.99739,MNT,9.76E-08,0.0026091
1344,0.95091,MOB1A,0.00013203,0.048956
1345,0.035037,MOB1B,0.033128,0.93184
1346,0.80908,MOV10,5.27E-10,0.19092
1347,1.95E-12,MPG,0.98294,0.017058
1348,4.07E-09,MPL,0.0027955,0.9972
1349,0.98078,MPRIP,1.49E-12,0.019221
1350,0.27158,MPZ,0.004675,0.72375
1351,0.15905,MPZL1,0.013947,0.827
1352,4.90E-18,MR1,0.99956,0.00044056
1353,0.94335,MRC1,7.80E-06,0.056645
1354,NA,MRE11,NA,NA
1355,0.50212,MRPL27,0.017416,0.48046
1356,1.92E-06,MRPS27,0.027427,0.97257
1357,NA,MKL1,NA,NA
1358,5.08E-05,MS4A1,0.31387,0.68608
1359,5.60E-09,MS4A2,0.93126,0.068739
1360,0.024651,MSC,0.18283,0.79252
1361,0.072006,MSGN1,0.17253,0.75547
1362,0.89539,MSH2,5.20E-10,0.10461
1363,0.99478,MSI2,1.08E-07,0.0052238
1364,4.78E-19,MST1,0.85727,0.14273
1365,7.87E-37,MST1R,1,4.80E-06
1366,1,MTA1,1.12E-16,1.08E-06
1367,1.94E-12,MTHFD1L,0.00046656,0.99953
1368,3.21E-10,MTHFR,0.086736,0.91326
1369,0.0012631,MTMR9,6.43E-05,0.99867
1370,7.23E-07,MTNR1A,0.83854,0.16146
1371,1,MTOR,1.54E-40,2.31E-11
1372,0.9997,MTSS1,4.00E-12,0.00029562
1373,0.018774,MUC1,0.0037329,0.97749
1374,9.43E-10,MUC2,3.04E-16,1
1375,2.79E-54,MUC4,0.99998,1.66E-05
1376,6.76E-08,MVP,0.0012144,0.99879
1377,3.42E-18,MX1,0.98189,0.018112
1378,0.81924,MYB,1.11E-08,0.18076
1379,0.12226,MYBL2,1.61E-06,0.87774
1380,8.01E-11,MYBPC3,4.51E-07,1
1381,0.99801,MYC,5.07E-08,0.0019941
1382,1,MYCBP2,4.81E-74,2.11E-25
1383,0.88897,MYCN,0.00021526,0.11081
1384,0.0033849,MYEOV,0.59694,0.39967
1385,1,MYH9,6.16E-38,1.44E-14
1386,9.17E-12,MYLK,6.95E-10,1
1387,0.98723,MYO18A,6.28E-20,0.012774
1388,7.24E-05,MYO1B,9.11E-11,0.99993
1389,2.03E-36,MYO3B,0.99693,0.0030746
1390,1,MYO9B,2.50E-28,6.49E-09
1391,0.15239,MYOD1,0.064233,0.78338
1392,1.48E-54,MYOF,0.99783,0.0021672
1393,7.22E-06,MYRIP,7.36E-06,0.99999
1394,0.97791,MYT1,2.10E-12,0.022087
1395,1.07E-10,MZF1,0.49404,0.50596
1396,0.62056,N4BP1,2.45E-06,0.37944
1397,1,NAA35,5.57E-17,1.56E-06
1398,8.73E-08,NAALADL2,0.00084141,0.99916
1399,3.28E-05,NABP1,0.40914,0.59082
1400,0.00016166,NAIP,0.30422,0.69562
1401,0.99995,NAV2,8.04E-24,4.54E-05
1402,1,NAV3,7.45E-30,5.70E-09
1403,2.18E-16,NBN,0.65704,0.34296
1404,0.99999,NCAM1,3.63E-16,1.25E-05
1405,1,NCBP1,1.10E-19,6.26E-08
1406,0.0020702,NCK1,0.018015,0.97992
1407,0.45789,NCK2,0.001087,0.54102
1408,0.99992,NCL,7.90E-13,7.88E-05
1409,0.99981,NCOA1,1.81E-17,0.00018657
1410,1,NCOA2,5.68E-23,1.04E-08
1411,0.54065,NCOA3,5.48E-13,0.45935
1412,3.30E-05,NCOA7,8.30E-07,0.99997
1413,1,NCOR2,8.28E-32,4.66E-10
1414,0.011324,NDRG1,0.00032444,0.98835
1415,2.20E-05,NDRG2,0.0043194,0.99566
1416,0.99995,NDST1,4.12E-14,4.51E-05
1417,8.72E-13,NEDD4,2.46E-06,1
1418,1,NEDD4L,1.05E-19,3.15E-06
1419,0.12634,NEDD9,1.52E-06,0.87366
1420,1.15E-06,NEK2,0.01203,0.98797
1421,0.038901,NEK6,0.0012545,0.95984
1422,0.88018,NEK7,1.08E-05,0.11981
1423,8.21E-18,NEK9,0.058638,0.94136
1424,0.24398,NEO1,1.17E-12,0.75602
1425,NA,NEURL3,NA,NA
1426,0.90175,NF1,2.40E-25,0.09825
1427,1,NF2,1.74E-14,4.43E-06
1428,6.29E-05,NFAM1,0.26929,0.73065
1429,0.99999,NFASC,5.52E-19,1.20E-05
1430,0.15652,NFATC1,5.08E-06,0.84348
1431,0.99995,NFATC2,4.78E-14,4.80E-05
1432,0.99813,NFATC3,2.98E-12,0.0018719
1433,0.8679,NFATC4,1.16E-07,0.1321
1434,0.99959,NFIA,4.31E-11,0.00040701
1435,0.99861,NFIB,8.65E-10,0.0013934
1436,0.090534,NFIC,0.00032683,0.90914
1437,0.99981,NFKBIZ,7.00E-12,0.000193
1438,0.14619,NFYA,0.00014091,0.85367
1439,0.00024967,NFYB,0.21715,0.7826
1440,0.10847,NFYC,4.86E-05,0.89148
1441,0.82026,NGF,0.0036879,0.17605
1442,0.097889,NGFR,0.0014114,0.9007
1443,0.57964,NHLH2,0.039716,0.38064
1444,9.63E-09,NIN,6.46E-15,1
1445,0.11745,NINJ1,0.09467,0.78788
1446,0.00050065,NKIRAS1,0.30032,0.69918
1447,0.00047049,NKX3-1,0.3135,0.68603
1448,0.85276,NLGN1,7.65E-07,0.14724
1449,0.99991,NLK,2.58E-11,8.87E-05
1450,9.42E-08,NLRC5,3.56E-12,1
1451,1.42E-38,NLRP2,1,1.21E-07
1452,0.0031764,NME1,0.16136,0.83547
1453,4.05E-06,NME7,0.044569,0.95543
1454,8.70E-06,NMI,0.22072,0.77927
1455,5.28E-08,NNMT,0.93058,0.069415
1456,2.46E-18,NOD1,0.97139,0.028611
1457,0.0001992,NOL3,0.49939,0.50041
1458,0.00010396,NOLC1,9.52E-05,0.9998
1459,1,NOS1,1.62E-22,4.25E-07
1460,4.03E-15,NOS2,0.00112,0.99888
1461,6.72E-07,NOS3,1.52E-08,1
1462,1,NOTCH1,1.93E-38,1.72E-14
1463,1,NOTCH2,5.03E-35,8.39E-13
1464,0.40757,NOTCH3,1.05E-16,0.59243
1465,2.05E-23,NOTCH4,0.00029251,0.99971
1466,3.05E-28,NOX5,0.99997,2.96E-05
1467,2.81E-09,NOXA1,0.26965,0.73035
1468,0.99974,NPAS3,3.02E-12,0.0002633
1469,0.99816,NPM1,4.18E-08,0.0018439
1470,1.19E-09,NQO1,0.89924,0.10076
1471,8.76E-07,NQO2,0.68037,0.31963
1472,8.34E-06,NR0B2,0.67593,0.32406
1473,0.81796,NR1D1,6.73E-06,0.18204
1474,0.37506,NR1H2,8.42E-05,0.62486
1475,0.00093892,NR1H4,0.00048629,0.99857
1476,0.99892,NR2C2,4.63E-10,0.0010785
1477,0.99864,NR2E1,1.99E-08,0.0013603
1478,0.98972,NR2F2,2.78E-06,0.010278
1479,0.45111,NR2F6,0.005546,0.54335
1480,0.96958,NR3C1,1.37E-08,0.030417
1481,0.83739,NR3C2,8.29E-09,0.16261
1482,0.37074,NR4A1,8.70E-05,0.62918
1483,0.99959,NR4A2,1.06E-09,0.00040733
1484,0.9126,NR4A3,9.63E-07,0.087399
1485,0.49009,NRAS,0.0041352,0.50578
1486,0.015254,NRCAM,2.41E-11,0.98475
1487,0.99665,NRG1,1.49E-09,0.0033492
1488,0.10947,NRG3,9.69E-06,0.89052
1489,0.99394,NRIP1,1.28E-09,0.0060618
1490,0.98584,NRP1,1.72E-11,0.014159
1491,0.00080686,NRP2,2.05E-07,0.99919
1492,0.99964,NRXN1,9.05E-17,0.00036103
1493,1,NRXN3,1.31E-16,1.15E-06
1494,1,NSD1,2.39E-39,7.31E-15
1495,7.64E-12,NSMAF,6.50E-05,0.99993
1496,0.057798,NTM,0.0033275,0.93887
1497,1.96E-06,NTRK1,0.00023674,0.99976
1498,1,NTRK2,1.46E-16,1.20E-06
1499,0.9983,NTRK3,1.16E-11,0.0016962
1500,0.098693,NUAK1,5.72E-05,0.90125
1501,4.99E-05,NUAK2,0.0065688,0.99338
1502,0.0039959,NUMB,0.00029829,0.99571
1503,0.99902,NUMBL,3.67E-10,0.00097969
1504,1,NUP153,1.53E-19,9.89E-07
1505,1.10E-22,NUP210,0.00013056,0.99987
1506,0.99725,NXN,2.24E-08,0.0027452
1507,2.61E-21,OAS2,0.99635,0.0036471
1508,1.97E-33,OAS3,0.99998,1.82E-05
1509,2.76E-11,OASL,0.95819,0.041808
1510,8.56E-07,OCLN,0.077101,0.9229
1511,1.89E-06,OFCC1,0.30409,0.69591
1512,3.93E-12,OGG1,0.90721,0.092788
1513,1,OGT,1.80E-15,1.74E-06
1514,0.007199,OLR1,0.014801,0.978
1515,0.0033233,OPRD1,0.15428,0.84239
1516,7.89E-11,OPRM1,0.857,0.143
1517,5.91E-18,OPTN,0.987,0.013002
1518,3.33E-07,OSBPL10,0.00060967,0.99939
1519,1.59E-06,OSBPL3,5.37E-07,1
1520,0.010518,OSBPL8,5.02E-09,0.98948
1521,0.97558,OSBPL9,6.57E-11,0.024416
1522,0.58916,OSM,0.037107,0.37374
1523,0.86296,OSR1,0.0018035,0.13524
1524,0.97107,OTUB1,7.20E-06,0.028927
1525,0.77444,OXSR1,1.02E-07,0.22556
1526,1.53E-06,P2RY6,0.8678,0.1322
1527,0.99876,PA2G4,3.22E-09,0.0012406
1528,2.43E-07,PACRG,0.50636,0.49364
1529,0.21345,PACSIN2,1.36E-05,0.78653
1530,0.017764,PAG1,0.0040485,0.97819
1531,0.0013306,PAK1,5.97E-05,0.99861
1532,0.97169,PAK2,5.65E-08,0.028308
1533,0.98716,PAK3,1.97E-07,0.012838
1534,4.36E-05,PAK4,0.0079459,0.99201
1535,NA,PAK5,NA,NA
