Table S8: IEI Candidate Genes with Average in T Cells > 1 TPM Filter,CellType,Gene,mean
704,T cell,MED4,79.37142857
705,T cell,MEN1,1.5
706,T cell,METTL8,3.614285714
707,T cell,METTL9,11.72857143
708,T cell,MGAT1,70.48571429
709,T cell,MGMT,29.48571429
710,T cell,MGRN1,2.114285714
711,T cell,MICAL2,1.571428571
712,T cell,MKL1,14.4
713,T cell,MKNK1,17.55714286
714,T cell,MKNK2,8.1
715,T cell,MKRN1,24.64285714
716,T cell,MLH1,13.21428571
717,T cell,MLLT3,7.3
718,T cell,MOB1A,35.52857143
719,T cell,MOV10,10.34285714
720,T cell,MPG,48.77142857
721,T cell,MPRIP,22.82857143
722,T cell,MPZL1,3.028571429
723,T cell,MR1,14.31428571
724,T cell,MRE11,7.228571429
725,T cell,MRPL27,101.3
726,T cell,MRPS27,31.48571429
727,T cell,MS4A1,2.242857143
728,T cell,MSC,9.3
729,T cell,MSH2,10.18571429
730,T cell,MTHFR,1.2
731,T cell,MTOR,1.428571429
732,T cell,MTSS1,7.142857143
733,T cell,MVP,67.31428571
734,T cell,MX1,31.24285714
735,T cell,MYC,130.1714286
736,T cell,MYCBP2,3.3
737,T cell,MYH9,24.44285714
738,T cell,MYO9B,2.1
739,T cell,MZF1,3.228571429
740,T cell,N4BP1,1.157142857
741,T cell,NAA35,6.414285714
742,T cell,NABP1,9.485714286
743,T cell,NBN,9.257142857
744,T cell,NCBP1,8.1
745,T cell,NCK1,28.34285714
746,T cell,NCK2,12.27142857
747,T cell,NCL,157.8
748,T cell,NCOA1,3.328571429
749,T cell,NCOA2,1.657142857
750,T cell,NCOA3,2.614285714
751,T cell,NCOA7,15.21428571
752,T cell,NDRG1,5.614285714
753,T cell,NDRG2,11.68571429
754,T cell,NEDD9,12.68571429
755,T cell,NEK6,5.6
756,T cell,NEK7,4.714285714
757,T cell,NEK9,1.971428571
758,T cell,NF1,2.357142857
759,T cell,NF2,11.24285714
760,T cell,NFATC1,4.6
761,T cell,NFATC2,3
762,T cell,NFATC3,15.6
763,T cell,NFIA,2.214285714
764,T cell,NFIC,1.757142857
765,T cell,NFKBIZ,2.471428571
766,T cell,NFYA,6.057142857
767,T cell,NFYB,24.4
768,T cell,NFYC,32.88571429
769,T cell,NIN,4.414285714
770,T cell,NINJ1,65.4
771,T cell,NKIRAS1,6.3
772,T cell,NLRC5,3.842857143
773,T cell,NME1,37.2
774,T cell,NME7,9.428571429
775,T cell,NMI,45.3
776,T cell,NOD1,5.785714286
777,T cell,NOLC1,18.65714286
778,T cell,NOS3,1.3
779,T cell,NPM1,771.8428571
780,T cell,NQO1,6.728571429
781,T cell,NQO2,28.42857143
782,T cell,NR1D1,6.842857143
783,T cell,NR1H2,76.08571429
784,T cell,NR2C2,1.142857143
785,T cell,NR2F6,1.885714286
786,T cell,NR3C1,16.17142857
787,T cell,NRAS,10.67142857
788,T cell,NSD1,5.942857143
789,T cell,NSMAF,5.9
790,T cell,NUAK2,13.64285714
791,T cell,NUMB,13.01428571
792,T cell,NUP153,2.828571429
793,T cell,NUP210,5.642857143
794,T cell,OAS2,29.24285714
795,T cell,OAS3,2.785714286
796,T cell,OASL,40.77142857
797,T cell,OGG1,14.9
798,T cell,OGT,6.571428571
799,T cell,OPTN,55.81428571
800,T cell,OSBPL3,5.742857143
801,T cell,OSBPL8,27.98571429
802,T cell,OSBPL9,24.31428571
803,T cell,OSM,2.857142857
804,T cell,OTUB1,145.9285714
805,T cell,OXSR1,1.885714286
806,T cell,PA2G4,136.5285714
807,T cell,PACSIN2,7.2
808,T cell,PAG1,4.771428571
809,T cell,PAK1,9.514285714
810,T cell,PAK2,12.52857143
811,T cell,PALLD,1.514285714
812,T cell,PANK2,3.942857143
813,T cell,PARD6A,4.671428571
814,T cell,PARK7,433.9714286
815,T cell,PARP1,65.92857143
816,T cell,PARP10,2.614285714
817,T cell,PARP14,6.757142857
818,T cell,PARP9,19.58571429
819,T cell,PCBP2,40.01428571
820,T cell,PCBP4,8.485714286
821,T cell,PCK2,4.257142857
822,T cell,PCNA,38.75714286
823,T cell,PDE4B,18.18571429
824,T cell,PDE4D,1.057142857
825,T cell,PDE7A,6.014285714
826,T cell,PDGFA,1.842857143
827,T cell,PDGFB,4.942857143
828,T cell,PDIA3,9.828571429
829,T cell,PDK1,8.414285714
830,T cell,PDK2,15.77142857
831,T cell,PDLIM5,10.5
832,T cell,PDPK1,3.771428571
833,T cell,PEA15,5.942857143
834,T cell,PEBP1,167.4714286
835,T cell,PECAM1,27
836,T cell,PELI1,3.771428571
837,T cell,PER2,1.328571429
838,T cell,PERP,4.428571429
839,T cell,PFKFB3,3.471428571
840,T cell,PFN1,5712.042857
841,T cell,PGK1,133.1714286
842,T cell,PGPEP1,3.7
843,T cell,PGS1,12.75714286
844,T cell,PHACTR2,4.685714286
845,T cell,PHACTR4,2.257142857
846,T cell,PHB,146.5714286
847,T cell,PHLDB2,1.557142857
848,T cell,PIAS1,19.25714286
849,T cell,PIAS3,8.457142857
850,T cell,PIAS4,11.14285714
851,T cell,PIEZO1,4.971428571
852,T cell,PIK3AP1,3.885714286
853,T cell,PIK3C3,10.64285714
854,T cell,PIK3CA,1.857142857
855,T cell,PIK3CB,3.142857143
856,T cell,PIK3CG,5.957142857
857,T cell,PIK3R4,6.285714286
858,T cell,PIK3R5,12.41428571
859,T cell,PIM1,52.71428571
860,T cell,PIM2,138.7857143
861,T cell,PIM3,3.2
862,T cell,PIN1,162.9571429
863,T cell,PIP4K2A,109.5857143
864,T cell,PKIA,5.857142857
865,T cell,PKIG,2.914285714
866,T cell,PKM,215.0285714
867,T cell,PKN1,22.45714286
868,T cell,PKN2,5.171428571
869,T cell,PLAC8,222.1
870,T cell,PLAGL1,1.428571429
871,T cell,PLAUR,5.628571429
872,T cell,PLCB2,1.185714286
873,T cell,PLCG1,4.357142857
874,T cell,PLD2,1.014285714
875,T cell,PLEKHA2,1.928571429
876,T cell,PLEKHG3,6.828571429
877,T cell,PLEKHO1,6.057142857
878,T cell,PLK3,5.685714286
879,T cell,PLSCR1,15.54285714
880,T cell,PLSCR3,53.88571429
881,T cell,PLXNC1,1.557142857
882,T cell,PMAIP1,9.171428571
883,T cell,PML,11.05714286
884,T cell,PNKP,6.942857143
885,T cell,PNPLA8,15.27142857
886,T cell,POLA2,4.142857143
887,T cell,POLD4,87.74285714
888,T cell,PON2,3.185714286
889,T cell,POU2F1,1.671428571
890,T cell,POU2F2,3.671428571
891,T cell,PPFIBP2,3.057142857
892,T cell,PPIA,1143.714286
893,T cell,PPM1A,1.557142857
894,T cell,PPM1B,4.214285714
895,T cell,PPM1D,7.085714286
896,T cell,PPM1G,54.91428571
897,T cell,PPM1M,17.64285714
898,T cell,PPP1CA,657.4714286
899,T cell,PPP1CB,52.42857143
900,T cell,PPP1CC,17.45714286
901,T cell,PPP1R12A,58.14285714
902,T cell,PPP1R15A,18.58571429
903,T cell,PPP1R2,118.0571429
904,T cell,PPP2CA,56.75714286
905,T cell,PPP2CB,1.757142857
906,T cell,PPP2R1A,136.1
907,T cell,PPP2R2A,3.685714286
908,T cell,PPP2R2B,17.9
909,T cell,PPP2R5A,3.7
910,T cell,PPP2R5C,151.1
911,T cell,PPP2R5D,17.71428571
912,T cell,PPP3CA,30.52857143
913,T cell,PPP3CC,16.7
914,T cell,PPP4C,64.68571429
915,T cell,PPP5C,17.77142857
916,T cell,PPP6C,26.35714286
917,T cell,PRDM1,19.37142857
918,T cell,PRDX1,204.6714286
919,T cell,PREX1,2.914285714
920,T cell,PRKAA1,9.357142857
921,T cell,PRKAB1,27.28571429
922,T cell,PRKAG2,4.842857143
923,T cell,PRKAR1A,40.5
924,T cell,PRKAR1B,8.228571429
925,T cell,PRKAR2A,5.342857143
926,T cell,PRKCB,19.65714286
927,T cell,PRKCH,100.2571429
928,T cell,PRKCI,1.357142857
929,T cell,PRKCQ,22.61428571
930,T cell,PRKD2,3.471428571
931,T cell,PRKN,1.085714286
932,T cell,PRKRA,25.71428571
933,T cell,PRMT5,19.22857143
934,T cell,PRPF40A,64.98571429
935,T cell,PRPF4B,5.657142857
936,T cell,PRR5,15.77142857
937,T cell,PSD4,3.671428571
938,T cell,PSEN1,22.44285714
939,T cell,PSEN2,3.414285714
940,T cell,PSMB9,87.51428571
941,T cell,PSMD1,24.44285714
942,T cell,PSTPIP2,6.7
943,T cell,PTK2B,22.81428571
944,T cell,PTMA,1784.714286
945,T cell,PTP4A1,38.14285714
946,T cell,PTP4A2,65.41428571
947,T cell,PTPA,17.05714286
948,T cell,PTPN1,9.514285714
949,T cell,PTPN11,12.82857143
950,T cell,PTPN12,1.885714286
951,T cell,PTPN18,4.628571429
952,T cell,PTPN2,40.61428571
953,T cell,PTPN22,12.72857143
954,T cell,PTPN6,159.6857143
955,T cell,PTPN7,10.81428571
956,T cell,PTPRA,4.557142857
957,T cell,PTPRE,22.2
958,T cell,PTPRJ,1.014285714
959,T cell,PTPRM,2.271428571
960,T cell,PTTG1,51.3
961,T cell,PTTG1IP,54.98571429
962,T cell,PWP2,3.042857143
963,T cell,PXN,46.44285714
964,T cell,PYCARD,132.4428571
965,T cell,RAB3GAP2,5.014285714
966,T cell,RABGGTA,5.471428571
967,T cell,RAC1,26.05714286
968,T cell,RACGAP1,8.271428571
969,T cell,RACK1,547.0714286
970,T cell,RAD1,4.942857143
971,T cell,RAD17,4.457142857
972,T cell,RAD18,2.3
973,T cell,RAD50,4.214285714
974,T cell,RAD51B,8.014285714
975,T cell,RAD9A,3.528571429
976,T cell,RAF1,22.87142857
977,T cell,RALBP1,8.814285714
978,T cell,RALGDS,13.35714286
979,T cell,RAN,595.4857143
980,T cell,RANGAP1,9.214285714
981,T cell,RAP1A,22.3
982,T cell,RAP1B,248.8714286
983,T cell,RAP1GAP2,1.3
984,T cell,RAP2A,1.142857143
985,T cell,RAPGEF1,1.971428571
986,T cell,RARA,2.942857143
987,T cell,RARG,7.042857143
988,T cell,RASA1,1.014285714
989,T cell,RASA3,15.75714286
990,T cell,RASGEF1B,1.785714286
991,T cell,RASSF1,40.92857143
992,T cell,RASSF2,9.7
993,T cell,RASSF4,2.485714286
994,T cell,RASSF5,97.5
995,T cell,RB1,5.857142857
996,T cell,RB1CC1,11.72857143
997,T cell,RBBP8,1.685714286
998,T cell,RBL1,2.885714286
999,T cell,RBM19,5.7
1000,T cell,RBMS1,14.31428571
1001,T cell,RBPJ,60.04285714
1002,T cell,RBX1,94.8
1003,T cell,RCC2,1.128571429
1004,T cell,RCHY1,5.2
1005,T cell,RCN1,8.214285714
1006,T cell,RDX,10.67142857
1007,T cell,RECQL5,2.742857143
1008,T cell,RERE,4.385714286
1009,T cell,RFTN1,30.7
1010,T cell,RFX3,4.714285714
1011,T cell,RGCC,43.92857143
1012,T cell,RGS16,1.442857143
1013,T cell,RGS19,83.92857143
1014,T cell,RHBDD2,78.65714286
1015,T cell,RHBDF2,4.242857143
1016,T cell,RHEB,30.4
1017,T cell,RHEBL1,4.557142857
1018,T cell,RHOA,461.2285714
1019,T cell,RHOF,65.82857143
1020,T cell,RHOG,115.5571429
1021,T cell,RICTOR,4.5
1022,T cell,RIN3,5.685714286
1023,T cell,RIPK2,4.8
1024,T cell,RIPK3,3.3
1025,T cell,RIPOR2,136.8428571
1026,T cell,RNF11,3.057142857
1027,T cell,RNF213,18.4
1028,T cell,RNF216,10.4
1029,T cell,RNF8,7.985714286
1030,T cell,RNLS,1.742857143
1031,T cell,ROCK1,3.728571429
1032,T cell,RORA,16.38571429
1033,T cell,RPA1,50.58571429
1034,T cell,RPA2,221.6285714
1035,T cell,RPGRIP1L,1.257142857
1036,T cell,RPL10,6378.028571
1037,T cell,RPL13,5849.585714
1038,T cell,RPL39L,23.18571429
1039,T cell,RPS19,11993.18571
1040,T cell,RPS24,2056.757143
1041,T cell,RPS27A,3729.828571
1042,T cell,RPS27L,139.2142857
1043,T cell,RPS3,1589.885714
1044,T cell,RPS6,4959.585714
1045,T cell,RPS6KA1,18.14285714
1046,T cell,RPS6KA3,4.857142857
1047,T cell,RPS6KA5,5.728571429
1048,T cell,RPS6KB1,13.01428571
1049,T cell,RPS6KB2,21.88571429
1050,T cell,RRAS2,2.142857143
1051,T cell,RREB1,1.028571429
1052,T cell,RRM1,20.2
1053,T cell,RRM2B,2.657142857
1054,T cell,RSAD2,3.5
1055,T cell,RSF1,19.88571429
1056,T cell,RTN4,14.74285714
1057,T cell,RUNX1,3.428571429
1058,T cell,RUNX2,3.857142857
1059,T cell,RUNX3,12.84285714
1060,T cell,RUVBL1,19.74285714
1061,T cell,RXYLT1,2.914285714
1062,T cell,RYK,1.314285714
1063,T cell,S100A10,416.0857143
1064,T cell,S100A11,759.5
1065,T cell,S100A2,1.257142857
1066,T cell,S100A4,3659.357143
1067,T cell,S100A6,1174.4
1068,T cell,S100A9,25.61428571
1069,T cell,S100B,119.3714286
1070,T cell,SAMSN1,29.61428571
1071,T cell,SCAF11,20.4
1072,T cell,SCAPER,11.88571429
1073,T cell,SCMH1,1.485714286
1074,T cell,SDC4,1.485714286
1075,T cell,SEC14L1,3.814285714
1076,T cell,SELP,1.142857143
1077,T cell,SELPLG,397.3
1078,T cell,SEMA4D,18.24285714
1079,T cell,SERPINB1,52.94285714
1080,T cell,SERTAD1,9
1081,T cell,SERTAD2,1.042857143
1082,T cell,SESN1,33.88571429
1083,T cell,SESN2,2.771428571
1084,T cell,SFSWAP,2.842857143
1085,T cell,SGK1,1.414285714
1086,T cell,SGK3,10.8
1087,T cell,SGMS1,7.542857143
1088,T cell,SH2B1,1.642857143
1089,T cell,SH2D2A,37.71428571
1090,T cell,SH3BP5,26.54285714
1091,T cell,SH3TC1,1.114285714
1092,T cell,SHC1,29.92857143
1093,T cell,SIAH1,5
1094,T cell,SIL1,12.95714286
1095,T cell,SIPA1L1,1.871428571
1096,T cell,SIRT1,1.357142857
1097,T cell,SIRT2,27.28571429
1098,T cell,SIRT6,7.714285714
1099,T cell,SIVA1,146.8714286
1100,T cell,SKAP1,151.3714286
1101,T cell,SKP2,6.128571429
1102,T cell,SLA,86.42857143
1103,T cell,SLC25A37,1.157142857
1104,T cell,SLC2A1,5.385714286
1105,T cell,SLC37A1,5.871428571
1106,T cell,SLC6A6,2.8
1107,T cell,SLC9A3R1,286.9
1108,T cell,SLCO3A1,1.271428571
1109,T cell,SLX4IP,1.014285714
1110,T cell,SMAD2,29.68571429
1111,T cell,SMAD3,2.557142857
1112,T cell,SMAD4,1.128571429
1113,T cell,SMARCA4,7.4
1114,T cell,SMC1A,12.88571429
1115,T cell,SMC3,15.7
1116,T cell,SMCO4,11.34285714
1117,T cell,SMG1,4.771428571
1118,T cell,SMG6,1.128571429
1119,T cell,SMURF2,1.028571429
1120,T cell,SMYD3,14.6
1121,T cell,SNAP47,30.8
1122,T cell,SND1,51.18571429
1123,T cell,SNRK,10.42857143
1124,T cell,SNRNP27,20.82857143
1125,T cell,SNX8,2.485714286
1126,T cell,SOCS1,2.257142857
1127,T cell,SOCS2,25.15714286
1128,T cell,SOCS3,1.457142857
1129,T cell,SOCS4,1.128571429
1130,T cell,SOD2,22.08571429
1131,T cell,SORBS3,11.48571429
1132,T cell,SOS1,1.357142857
1133,T cell,SP1,1.314285714
1134,T cell,SP140L,14.32857143
1135,T cell,SP2,6.828571429
1136,T cell,SP3,18.8
1137,T cell,SPAG9,1.028571429
1138,T cell,SPATS2L,9.057142857
1139,T cell,SPECC1L,2.257142857
1140,T cell,SPIDR,6.142857143
1141,T cell,SPRY1,8.257142857
1142,T cell,SPTBN1,4.628571429
1143,T cell,SQOR,71.25714286
1144,T cell,SQSTM1,192.8857143
1145,T cell,SRGN,246.6285714
1146,T cell,SRPK1,10.37142857
1147,T cell,SSBP2,11.88571429
1148,T cell,SSBP3,1.671428571
1149,T cell,ST3GAL1,26.78571429
1150,T cell,ST3GAL2,2.571428571
1151,T cell,ST6GAL1,50.98571429
1152,T cell,ST7,5.342857143
1153,T cell,STAG1,4.014285714
1154,T cell,STAM,16.48571429
1155,T cell,STAM2,1.685714286
1156,T cell,STAT4,62.51428571
1157,T cell,STAT5A,14.3
1158,T cell,STAT6,7.842857143
1159,T cell,STK10,23.11428571
1160,T cell,STK17A,9.3
1161,T cell,STK24,7.657142857
1162,T cell,STK38,46.5
1163,T cell,STK40,2.171428571
1164,T cell,STOML2,77.62857143
1165,T cell,STRADB,11.82857143
1166,T cell,SUB1,198.6571429
1167,T cell,SUGT1,28.58571429
1168,T cell,SUMO1,200.8428571
1169,T cell,SUSD1,1.2
1170,T cell,SYNE1,10.25714286
1171,T cell,SYNE2,22.84285714
1172,T cell,TAB1,3.428571429
1173,T cell,TAB2,2.557142857
1174,T cell,TACC1,4.514285714
1175,T cell,TAF1,1.271428571
1176,T cell,TAF1B,9.528571429
1177,T cell,TAOK3,50.15714286
1178,T cell,TAX1BP1,79.41428571
1179,T cell,TBC1D1,3.842857143
1180,T cell,TBC1D14,9.014285714
1181,T cell,TBC1D31,7.171428571
1182,T cell,TBC1D4,6.985714286
1183,T cell,TBC1D5,4.814285714
1184,T cell,TBCA,159.1857143
1185,T cell,TBL1XR1,5.171428571
1186,T cell,TBP,38.35714286
1187,T cell,TBX21,5.857142857
1188,T cell,TBXAS1,7.528571429
1189,T cell,TCEAL1,16.01428571
1190,T cell,TCF12,15.72857143
1191,T cell,TCF7,38.47142857
1192,T cell,TDP1,21.04285714
1193,T cell,TERF1,13.88571429
1194,T cell,TERF2,5.314285714
1195,T cell,TFDP1,3.9
1196,T cell,TFEB,2.171428571
1197,T cell,TGFA,1.014285714
1198,T cell,TGFBR3,14.87142857
1199,T cell,TGIF1,45.47142857
1200,T cell,THADA,3.685714286
1201,T cell,THAP12,4.6
1202,T cell,TIAM1,8.171428571
1203,T cell,TIMP1,113.2428571
1204,T cell,TKT,23.21428571
1205,T cell,TLE4,3.142857143
1206,T cell,TLK1,7.185714286
1207,T cell,TLN1,3.3
1208,T cell,TLR1,2.414285714
1209,T cell,TMEM2,1.328571429
1210,T cell,TMEM204,60.74285714
1211,T cell,TMEM30A,32.14285714
1212,T cell,TMX3,3.985714286
1213,T cell,TNF,2.242857143
1214,T cell,TNFAIP8,181.3428571
1215,T cell,TNFAIP8L1,2.3
1216,T cell,TNFRSF10A,12
1217,T cell,TNFRSF10B,2.4
1218,T cell,TNFRSF10D,1.414285714
1219,T cell,TNFRSF1B,34.54285714
1220,T cell,TNFRSF25,4.485714286
1221,T cell,TNFSF10,18.6
1222,T cell,TNFSF13B,13.25714286
1223,T cell,TNFSF8,19.08571429
1224,T cell,TNIK,4
1225,T cell,TNIP1,12.04285714
1226,T cell,TNIP2,9.171428571
1227,T cell,TNIP3,2.242857143
1228,T cell,TNRC6B,44.21428571
1229,T cell,TOLLIP,31.41428571
1230,T cell,TOP1,7.4
1231,T cell,TP53BP1,1.514285714
1232,T cell,TP53BP2,1.085714286
1233,T cell,TP53INP1,2.371428571
1234,T cell,TP53RK,18.61428571
1235,T cell,TPCN1,2.057142857
1236,T cell,TPD52,11.85714286
1237,T cell,TPRG1,2.357142857
1238,T cell,TRADD,61.24285714
1239,T cell,TRAF1,5.871428571
1240,T cell,TRAF2,14.58571429
1241,T cell,TRAF4,1.5
1242,T cell,TRAF5,12.05714286
1243,T cell,TRAF6,15.84285714
1244,T cell,TRAPPC9,3.442857143
1245,T cell,TRIAP1,40
1246,T cell,TRIB3,9.771428571
1247,T cell,TRIM21,78.32857143
1248,T cell,TRIM25,1.128571429
1249,T cell,TRIM28,15.18571429
1250,T cell,TRIM56,1.3
1251,T cell,TRIM69,1.114285714
1252,T cell,TSC1,2.771428571
1253,T cell,TSC2,1.971428571
1254,T cell,TSC22D3,664.2857143
1255,T cell,TSHR,1.028571429
1256,T cell,TSPAN14,72.72857143
1257,T cell,TSPAN3,26.67142857
1258,T cell,TTC1,66.51428571
1259,T cell,TUBA1C,11.51428571
1260,T cell,TUBB,18.67142857
1261,T cell,TUBGCP5,3.457142857
1262,T cell,TXK,33.64285714
1263,T cell,TXN,160.8571429
1264,T cell,TXNIP,677.9857143
1265,T cell,TXNRD1,21
1266,T cell,TYMS,2.728571429
1267,T cell,TYROBP,125.5714286
1268,T cell,UBA52,2244.771429
1269,T cell,UBB,2739.014286
1270,T cell,UBC,393.1428571
1271,T cell,UBE2F,43.55714286
1272,T cell,UBE2H,3.042857143
1273,T cell,UBE2I,163.5
1274,T cell,UBE2L3,76.81428571
1275,T cell,UBE2N,119.8428571
1276,T cell,UBR1,2.442857143
1277,T cell,UIMC1,10.5
1278,T cell,UPP1,23.65714286
1279,T cell,UQCC1,14.5
1280,T cell,USF1,1.271428571
1281,T cell,USF2,7.557142857
1282,T cell,USP1,13.1
1283,T cell,USP10,52.22857143
1284,T cell,USP34,3.085714286
1285,T cell,USP4,49.72857143
1286,T cell,USP7,4.614285714
1287,T cell,USP9X,3.7
1288,T cell,UTP14A,13.85714286
1289,T cell,UTRN,26.9
1290,T cell,UVRAG,6.385714286
1291,T cell,VAC14,1.9
1292,T cell,VASP,2.742857143
1293,T cell,VAV1,17.25714286
1294,T cell,VAV3,1.214285714
1295,T cell,VCL,7.285714286
1296,T cell,VCP,41.38571429
1297,T cell,VEGFB,2.085714286
1298,T cell,VGLL4,7.757142857
1299,T cell,VHL,1.257142857
1300,T cell,VIM,278.9
1301,T cell,VMP1,47.28571429
1302,T cell,VOPP1,27.27142857
1303,T cell,VPS33B,5.671428571
1304,T cell,VPS53,1.614285714
1305,T cell,VPS8,5.285714286
1306,T cell,VRK1,30.78571429
1307,T cell,VRK2,14.31428571
1308,T cell,VWA5A,4.857142857
1309,T cell,WARS,34.58571429
1310,T cell,WASF2,26.07142857
1311,T cell,WASL,1.2
1312,T cell,WEE1,1.857142857
1313,T cell,WNK1,2.528571429
1314,T cell,WNT1,2.342857143
1315,T cell,WRN,1.3
1316,T cell,XAF1,5.271428571
1317,T cell,XPA,27.4
1318,T cell,XPC,17.07142857
1319,T cell,XPO1,3.157142857
1320,T cell,XRCC5,148.0714286
1321,T cell,XRCC6,263.2714286
1322,T cell,XXYLT1,1.185714286
1323,T cell,YES1,1.242857143
1324,T cell,YWHAB,83.54285714
1325,T cell,YWHAE,42.94285714
1326,T cell,YWHAH,8.314285714
1327,T cell,YWHAQ,188.3
1328,T cell,YWHAZ,390.2142857
1329,T cell,YY1,5.571428571
1330,T cell,ZBTB16,10.3
1331,T cell,ZBTB20,6.014285714
1332,T cell,ZC3HAV1,52.17142857
1333,T cell,ZEB2,6.614285714
1334,T cell,ZFP1,1.657142857
1335,T cell,ZFP30,1.271428571
1336,T cell,ZFP36,36.37142857
1337,T cell,ZFP36L1,173.6
1338,T cell,ZMAT3,1.314285714
1339,T cell,ZMYND8,9.271428571
1340,T cell,ZNF107,4.5
1341,T cell,ZNF12,1.442857143
1342,T cell,ZNF124,7.471428571
1343,T cell,ZNF140,14.22857143
1344,T cell,ZNF148,21.24285714
1345,T cell,ZNF155,5.385714286
1346,T cell,ZNF169,2.957142857
1347,T cell,ZNF181,10.31428571
1348,T cell,ZNF184,8.157142857
1349,T cell,ZNF19,1.057142857
1350,T cell,ZNF200,10.37142857
1351,T cell,ZNF222,5.385714286
1352,T cell,ZNF226,22.67142857
1353,T cell,ZNF227,11.15714286
1354,T cell,ZNF23,1.585714286
1355,T cell,ZNF230,3.771428571
1356,T cell,ZNF235,5.028571429
1357,T cell,ZNF25,1.471428571
1358,T cell,ZNF254,2.328571429
1359,T cell,ZNF263,3.771428571
1360,T cell,ZNF267,13.2
1361,T cell,ZNF268,8.9
1362,T cell,ZNF302,17.12857143
1363,T cell,ZNF331,10.97142857
1364,T cell,ZNF333,2.785714286
1365,T cell,ZNF337,5.142857143
1366,T cell,ZNF33B,13.21428571
1367,T cell,ZNF343,3.157142857
1368,T cell,ZNF354A,4.728571429
1369,T cell,ZNF365,2.142857143
1370,T cell,ZNF398,1.1
1371,T cell,ZNF41,3.285714286
1372,T cell,ZNF417,2.885714286
1373,T cell,ZNF419,7.471428571
1374,T cell,ZNF425,1.785714286
1375,T cell,ZNF510,3.257142857
1376,T cell,ZNF529,2.514285714
1377,T cell,ZNF550,4.214285714
1378,T cell,ZNF567,5.414285714
1379,T cell,ZNF585A,31.02857143
1380,T cell,ZNF589,3.285714286
1381,T cell,ZNF596,2.485714286
1382,T cell,ZNF599,2.814285714
1383,T cell,ZNF613,7.628571429
1384,T cell,ZNF655,45.38571429
1385,T cell,ZNF669,4.957142857
1386,T cell,ZNF670,2.257142857
1387,T cell,ZNF680,1.685714286
1388,T cell,ZNF689,4.042857143
1389,T cell,ZNF721,14.95714286
1390,T cell,ZNF764,2.971428571
1391,T cell,ZNF778,1.471428571
1392,T cell,ZNF786,8.842857143
1393,T cell,ZNF79,5.571428571
1394,T cell,ZNF84,9.442857143
1395,T cell,ZNF879,4.8